000000: #$00-600
000001: #@00
000002: #@101
000003: #$00-559
000004: #$00-558
000005: #$00-557
000006: #$00-556
000007: #$00-555
000008: #%0801
000009: #$00-554
000010: #$00-553
000011: #$00-552
000012: #$00-551
000013: #$00-550
000014: #$00-549
000015: #$00-548
000016: #$00-547
000017: #$00-546
000018: #$00-545
000019: #$00-544
000020: #$00-543
000021: #$00-542
000022: #$00-541
000023: #$00-540
000024: #$00-539
000025: #$00-538
000026: #$00-537
000027: #$00-536
000028: #$00-535
000029: #$00-534
000030: #$00-533
000031: #$00-532
000032: #$00-531
000033: #$00-530
000034: #$00-529
000035: #$00-528
000036: #$00-527
000037: #$00-526
000038: #$00-525
000039: #$00-524
000040: #$00-523
000041: #$00-522
000042: #$00-521
000043: #$00-520
000044: #$00-519
000045: #$00-518
000046: #$00-517
000047: #$00-516
000048: #$00-515
000049: #$00-514
000050: #$00-513
000051: #$00-512
000052: #$00-511
000053: #$00-510
000054: #$00-509
000055: #$00-508
000056: #$00-507
000057: #$00-506
000058: #$00-505
000059: #$00-504
000060: #$00-503
000061: #$00-502
000062: #$00-501
000063: #$00-500
000064: #$00-459
000065: #$00-458
000066: #$00-457
000067: #$00-456
000068: #$00-455
000069: #$00-454
000070: #$00-453
000071: #$00-452
000072: #$00-451
000073: #$00-450
000074: #$00-449
000075: #$00-448
000076: #$00-447
000077: #$00-446
000078: #$00-445
000079: #$00-444
000080: #$00-443
000081: #$00-442
000082: #$00-441
000083: #$00-440
000084: #$00-439
000085: #$00-438
000086: #$00-437
000087: #$00-436
000088: #$00-435
000089: #$00-434
000090: #$00-433
000091: #$00-432
000092: #$00-431
000093: #$00-430
000094: #$00-429
000095: #$00-428
000096: #$00-427
000097: #$00-426
000098: #$00-425
000099: #$00-424
000100: #$00-423
000101: #$00-422
000102: #$00-421
000103: #$00-420
000104: #$00-419
000105: #%0801
000106: #@00
000107: #@111
000108: #$00-011
000109: #$00-010
000110: #$00-009
000111: #$00-008
000112: #$00-007
000113: #$00-006
000114: #$00-005
000115: #@301
000116: #$00-004
000117: #@311
000118: #$00-003
000119: #@321
000120: #$00-002
000121: #@331
000122: #$00-001
000123: #@341
000124: #$00-000
000125: #%0801
000126: #@00
000127: #@121
000128: #@20
000129: #$000000
000130: #$000001
000131: #$000002
000132: #$000003
000133: #$000004
000134: #$000005
000135: #$000006
000136: #$000007
000137: #$000008
000138: #$000009
000139: #$000010
000140: #$000011
000141: #$000012
000142: #$000013
000143: #$000014
000144: #@00
000145: #@00
000146: #@101
000147: 
